"ATIV_SQ_ATIVIDADE","ATIV_CD_ATIVIDADE","ATIV_NM_ATIVIDADE"
"242","O100208","INSTALACAO DE BASE REASSENTAVEL"
"243","O100209","INSTALACAO DE BASE REASSENTAVEL"
"244","O100210","INSTALACAO DE BASE REASSENTAVEL"
"245","O100211","INSTALACAO DE BASE REASSENTAVEL"
"246","O100212","INSTALACAO DE BASE REASSENTAVEL"
"247","O100213","INSTALACAO DE BASE REASSENTAVEL"
"248","O100214","INSTALACAO DE BASE REASSENTAVEL"
"249","R101390","INSTALACAO DE CATS"
"250","A100600","INSTALACAO DE CATS"
"251","A300000","INSTALACAO DE CATS"
"252","C100200","INSTALACAO DE CATS"
"253","O100015","INSTALACAO DE LDB"
"254","C100015","INSTALACAO DE LDB"
"255","P300800","INSTALACAO DE REGISTRADOR DE PRESSAO"
"256","R101300","INSTALACAO DO BPP/CR A CABO"
"257","R101320","INSTALACAO DO BPP/CR INFLAVEL FLEXITUBO"
"258","O100070","INSTALACAO DO MANIFOLD"
"259","O100000","INSTALACAO DO MOBO"
"260","O100000-2","INSTALACAO DO MOBO PROD O JUB"
"261","SER0015","INSTALACAO DO MOBO PROD O JUB"
"262","R101340","INSTALACAO DO PACKER DE ABANDONO"
"263","R101330","INSTALACAO DO PLUG"
"264","R101335","INSTALACAO DO PLUG 2"
"265","O100120","INSTALACAO DO VASPS"
"266","R100910","INSTALAR DHSV"
"267","P700130","INTERCEPTACAO"
"268","R101100","ISOLAMENTO DE ZONA"
"269","J100000","JANELA DA SONDA"
"270","P300760","JATEAMENTO 30"""
"271","P300110","JATEAMENTO 30""/REV 30"""
"272","D01121","JATEAMENTO 30""/REV 30"""
"273","D01124","JATEAMENTO 30""/REV 30"""
"274","P300750","JATEAMENTO 36"""
"275","D01095","JATEAMENTO 42"""
"276","P300730","JATEAMENTO 42""/TUBULAO 42"""
"277","P300720","JATEAMENTO 46"""
"278","O100060","LANCAMENTO DE MANIFOLD"
"279","O100050","LANCAMENTO DE PLATAFORMA"
"280","R100045","LIGHT WORKOVER PROBABILISTICO"
"281","R100032","LIGHT WORKOVER SEM ESCOPO"
"282","R100880","LIMPEZA DE FUNDO"
"283","R100890","LIMPEZA DE LINHA"
"284","R02685","LIMPEZA FLOWLINE E PREVENCAO DE HIDRATO"
"285","R101380","MANUTENCAO DO MOBO"
"286","P900110","MICROFRATURAMENTO POCO ABERTO"
"287","C100150","MICROFRATURAMENTO POCO ABERTO"
"288","P900100","MICROFRATURAMENTO POCO REVESTIDO"
"289","C100140","MICROFRATURAMENTO POCO REVESTIDO"
"290","R101370","MOBO SEM ESCOPO"
"291","DOC0001","MSI MRL-4"
"292","R02980","MSPI"
"293","P500100","OPERACAO COM BAP/BOP"
"294","C100000","OPERACAO COM BAP/BOP"
"295","R100190","OPERACAO COM BAP/BOP"
"296","R100195","OPERACAO COM BAP/BOP 2"
"297","P500110","OPERACAO COM BAP/BOP 2"
"298","C100010","OPERACAO COM BAP/BOP 2"
"299","P500120","OPERACAO COM BAP/BOP 3"
"300","C100020","OPERACAO COM BAP/BOP 3"
"301","R100196","OPERACAO COM BAP/BOP 3"
"302","P500130","OPERACAO COM BAP/BOP 4"
"303","R100197","OPERACAO COM BAP/BOP 4"
"304","P500140","OPERACAO COM BAP/BOP 5"
